"GEO","SEX","CAS","LMS","COC","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"AT","T","POP","DISREP","TOTAL","TOTAL","2011",":","cd","LMS: Because of confidentiality reasons persons whose same-sex registered partnership was legally dissolved, are not shown but included in the category divorced."
"AT","T","POP","DISREP","TOTAL","Y15-29","2011",":","cd","LMS: Because of confidentiality reasons persons whose same-sex registered partnership was legally dissolved, are not shown but included in the category divorced."
"AT","T","POP","DISREP","TOTAL","Y30-49","2011",":","cd","LMS: Because of confidentiality reasons persons whose same-sex registered partnership was legally dissolved, are not shown but included in the category divorced."
"AT","T","POP","DISREP","TOTAL","Y50-64","2011",":","cd","LMS: Because of confidentiality reasons persons whose same-sex registered partnership was legally dissolved, are not shown but included in the category divorced."
"AT","T","POP","DISREP","TOTAL","Y65-84","2011",":","cd","LMS: Because of confidentiality reasons persons whose same-sex registered partnership was legally dissolved, are not shown but included in the category divorced."
"AT","T","POP","DISREP","TOTAL","Y_GE85","2011",":","cd","LMS: Because of confidentiality reasons persons whose same-sex registered partnership was legally dissolved, are not shown but included in the category divorced."
"AT","T","POP","DISREP","TOTAL","Y_LT15","2011",":","cd","LMS: Because of confidentiality reasons persons whose same-sex registered partnership was legally dissolved, are not shown but included in the category divorced."
"AT","T","POP","DIV","TOTAL","TOTAL","2011","637965","d","LMS: Including persons whose same-sex registered partnership was legally dissolved."
"AT","T","POP","DIV","TOTAL","Y15-29","2011","15477","d","LMS: Including persons whose same-sex registered partnership was legally dissolved."
"AT","T","POP","DIV","TOTAL","Y30-49","2011","277147","d","LMS: Including persons whose same-sex registered partnership was legally dissolved."
"AT","T","POP","DIV","TOTAL","Y50-64","2011","241256","d","LMS: Including persons whose same-sex registered partnership was legally dissolved."
"AT","T","POP","DIV","TOTAL","Y65-84","2011","97829","d","LMS: Including persons whose same-sex registered partnership was legally dissolved."
"AT","T","POP","DIV","TOTAL","Y_GE85","2011","6256","d","LMS: Including persons whose same-sex registered partnership was legally dissolved."
"AT","T","POP","DIV","TOTAL","Y_LT15","2011","0","d","LMS: Including persons whose same-sex registered partnership was legally dissolved."
