"GEO","SEX","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"AT","F","TOTAL","2011","4308002","",""
"AT","M","TOTAL","2011","4093938","",""
"AT","T","TOTAL","2011","8401940","",""
"BE","F","TOTAL","2011","5598920","",""
"BE","M","TOTAL","2011","5401718","",""
"BE","T","TOTAL","2011","11000638","",""
"BG","F","TOTAL","2011","3777999","",""
"BG","M","TOTAL","2011","3586571","",""
"BG","T","TOTAL","2011","7364570","",""
"CH","F","TOTAL","2011","4032409","",""
"CH","M","TOTAL","2011","3922253","",""
"CH","T","TOTAL","2011","7954662","",""
"CY","F","TOTAL","2011","0","",""
"CY","M","TOTAL","2011","0","",""
"CY","T","TOTAL","2011","0","",""
"CZ","F","TOTAL","2011","5326794","",""
"CZ","M","TOTAL","2011","5109766","",""
"CZ","T","TOTAL","2011","10436560","",""
"DE","F","TOTAL","2011","41073754","",""
"DE","M","TOTAL","2011","39145941","",""
"DE","T","TOTAL","2011","80219695","",""
"DK","F","TOTAL","2011","2804046","",""
"DK","M","TOTAL","2011","2756582","",""
"DK","T","TOTAL","2011","5560628","",""
"EE","F","TOTAL","2011","693929","",""
"EE","M","TOTAL","2011","600526","",""
"EE","T","TOTAL","2011","1294455","",""
"EL","F","TOTAL","2011","5513063","",""
"EL","M","TOTAL","2011","5303223","",""
"EL","T","TOTAL","2011","10816286","",""
"ES","F","TOTAL","2011","23711560","",""
"ES","M","TOTAL","2011","23104350","",""
"ES","T","TOTAL","2011","46815910","",""
"FI","F","TOTAL","2011","2736860","",""
"FI","M","TOTAL","2011","2638416","",""
"FI","T","TOTAL","2011","5375276","",""
"FR","F","TOTAL","2011","33500655","",""
"FR","M","TOTAL","2011","31432745","",""
"FR","T","TOTAL","2011","64933400","",""
"HR","F","TOTAL","2011","2218554","",""
"HR","M","TOTAL","2011","2066335","",""
"HR","T","TOTAL","2011","4284889","",""
"HU","F","TOTAL","2011","0","",""
"HU","M","TOTAL","2011","0","",""
"HU","T","TOTAL","2011","0","",""
"IE","F","TOTAL","2011","2304382","",""
"IE","M","TOTAL","2011","2270506","",""
"IE","T","TOTAL","2011","4574888","",""
"IS","F","TOTAL","2011","157405","",""
"IS","M","TOTAL","2011","158151","",""
"IS","T","TOTAL","2011","315556","",""
"IT","F","TOTAL","2011","30688237","",""
"IT","M","TOTAL","2011","28745507","",""
"IT","T","TOTAL","2011","59433744","",""
"LI","F","TOTAL","2011","18263","",""
"LI","M","TOTAL","2011","17886","",""
"LI","T","TOTAL","2011","36149","",""
"LT","F","TOTAL","2011","0","",""
"LT","M","TOTAL","2011","0","",""
"LT","T","TOTAL","2011","0","",""
"LU","F","TOTAL","2011","257386","",""
"LU","M","TOTAL","2011","254967","",""
"LU","T","TOTAL","2011","512353","",""
"LV","F","TOTAL","2011","1124269","",""
"LV","M","TOTAL","2011","946102","",""
"LV","T","TOTAL","2011","2070371","",""
"MT","F","TOTAL","2011","209807","",""
"MT","M","TOTAL","2011","207625","",""
"MT","T","TOTAL","2011","417432","",""
"NL","F","TOTAL","2011","8412317","",""
"NL","M","TOTAL","2011","8243482","",""
"NL","T","TOTAL","2011","16655799","",""
"NO","F","TOTAL","2011","2484175","",""
"NO","M","TOTAL","2011","2495779","",""
"NO","T","TOTAL","2011","4979954","",""
"PL","F","TOTAL","2011","19624176","",""
"PL","M","TOTAL","2011","18420389","",""
"PL","T","TOTAL","2011","38044565","",""
"PT","F","TOTAL","2011","5515578","",""
"PT","M","TOTAL","2011","5046600","",""
"PT","T","TOTAL","2011","10562178","",""
"RO","F","TOTAL","2011","10333064","",""
"RO","M","TOTAL","2011","9788577","",""
"RO","T","TOTAL","2011","20121641","",""
"SE","F","TOTAL","2011","4756021","",""
"SE","M","TOTAL","2011","4726834","",""
"SE","T","TOTAL","2011","9482855","",""
"SI","F","TOTAL","2011","1035626","",""
"SI","M","TOTAL","2011","1014563","",""
"SI","T","TOTAL","2011","2050189","",""
"SK","F","TOTAL","2011","2769264","",""
"SK","M","TOTAL","2011","2627772","",""
"SK","T","TOTAL","2011","5397036","",""
"UK","F","TOTAL","2011","32154035","",""
"UK","M","TOTAL","2011","31028145","",""
"UK","T","TOTAL","2011","63182180","",""
